Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Finding robust solutions in requirements models","Gregory Gay; Tim Menzies; Omid Jalali; Gregory Mundy; Beau Gilkerson; Martin Feather; James Kiper","West Virginia University, Morgantown, WV, USA; West Virginia University, Morgantown, WV, USA; West Virginia University, Morgantown, WV, USA; Alderson-Broaddus College, Philippi, WV, USA; West Virginia University, Morgantown, WV, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Department of Computer Science and Systems Analysis, Miami University, Oxford, OH, USA","Automated Software Engineering","","","","","","","Solutions to non-linear requirements engineering problems may be “brittle”; i.e. small changes may dramatically alter solution effectiveness. Hence, it is not enough to just generate solutions to requirements problems- we must also assess solution robustness. The KEYS2 algorithm can generate decision ordering diagrams. Once generated, these diagrams can assess solution robustness in linear time. In experiments with real-world requirements engineering models, we show that KEYS2 can generate decision ordering diagrams in O(N 2). When assessed in terms of terms of (a) reducing inference times, (b) increasing solution quality, and (c) decreasing the variance of the generated solution, KEYS2 out-performs other search algorithms (simulated annealing, ASTAR, MaxWalkSat).","","","https://doi.org/10.1007/s10515-009-0059-7","","https://link.springer.com/content/pdf/10.1007/s10515-009-0059-7.pdf","Simulated Annealing;Analytic Hierarchy Process;Requirement Engineering;Requirement Model;Binary Decision Diagram","Simulated Annealing;Analytic Hierarchy Process;Requirement Engineering;Requirement Model;Binary Decision Diagram","","","","6","195","","","","","",""
"Automated software license analysis","Timo Tuunanen; Jussi Koskinen; Tommi Kärkkäinen","Department of Mathematical Information Technology, University of Jyväskylä, P.O. Box 35 (Agora), 40014, Jyväskylä, Finland; Department of Computer Science and Information Systems, University of Jyväskylä, P.O. Box 35 (Agora), 40014, Jyväskylä, Finland; Department of Mathematical Information Technology, University of Jyväskylä, P.O. Box 35 (Agora), 40014, Jyväskylä, Finland","Automated Software Engineering","","","","","","","Software license is a legal instrument governing the usage or redistribution of copyright-protected software. License analysis is an elaborate undertaking, especially in case of large software consisting of numerous modules under different licenses. This paper describes an automated approach for supporting software license analysis. The approach is implemented in a reverse engineering tool called ASLA. We provide a detailed description of the architecture and features of the tool. The tool is evaluated on the basis of an analysis of 12 OSS (open source software) packages. The results show that licenses for (on average) 89% of the source code files can be identified by using ASLA and that the efficiency of the automated analysis is (on average) 111 files per second. In a further comparison with two other open source license analyzers—OSLC and FOSSology—ASLA shows a competitive performance. The results validate the general feasibility of the ASLA approach in the context of analyzing non-trivial OSS packages.","","","https://doi.org/10.1007/s10515-009-0054-z","","https://link.springer.com/content/pdf/10.1007/s10515-009-0054-z.pdf","Software licenses;Software reuse;Open source software;Reverse engineering;Program comprehension","Software licenses;Software reuse;Open source software;Reverse engineering;Program comprehension","","","","26","317","","","","","",""
"From UML/SPT models to schedulability analysis: approach and a prototype implementation using ATL","Abdelouahed Gherbi; Ferhat Khendek","Electrical and Computer Engineering Department, Concordia University, 1455 de Maisonneuve Blvd. W., Montreal, H3G 1M8, Canada; Electrical and Computer Engineering Department, Concordia University, 1455 de Maisonneuve Blvd. W., Montreal, H3G 1M8, Canada","Automated Software Engineering","","","","","","","Model Driven Architecture (MDA) is a software development approach promoted by the OMG. MDA is based on two key concepts, models and model transformations. Several kinds of models are generally used throughout the development process to specify a software system and to support its analysis and validation. UML and its extensions, such as the UML profile for real-time systems (UML/SPT), are commonly used to define the structure and the behavior of software systems while other models, such as performance models or schedulability models, are more suitable for performance or schedulability analysis, respectively. In this paper we discuss a model transformation enabling the derivation of schedulability analysis models from UML/SPT models. As a proof of concepts, we present a prototype implementation of this model transformation using ATL. We provide a definition of the source and target metamodels using the metamodel specification language KM3 and we specify the transformation in an ATL module. We discuss the merits and limitations of our approach and of its implementation.","","","https://doi.org/10.1007/s10515-008-0045-5","","https://link.springer.com/content/pdf/10.1007/s10515-008-0045-5.pdf","UML;UML/SPT;MDA;Model transformations;Schedulability analysis;ATL;Real-time","UML;UML/SPT;MDA;Model transformations;Schedulability analysis;ATL;Real-time","","","","3","167","","","","","",""
"A semantic framework for metamodel-based languages","Angelo Gargantini; Elvinia Riccobene; Patrizia Scandurra","Dip. Ing. dell’Informazione e Metodi Matematici, Universitá di Bergamo, V.le Marconi, 5, 24044, Dalmine, Italy; Dip. di Tecnologie dell’Informazione, Universitá di Milano, via Bramante, 65, 26013, Crema, Italy; Dip. Ing. dell’Informazione e Metodi Matematici, Universitá di Bergamo, V.le Marconi, 5, 24044, Dalmine, Italy","Automated Software Engineering","","","","","","","In the model-based development context, metamodel-based languages are increasingly being defined and adopted either for general purposes or for specific domains of interest. However, meta-languages such as the MOF (Meta Object Facility)—combined with the OCL (Object Constraint Language) for expressing constraints—used to specify metamodels focus on structural and static semantics but have no built-in support for specifying behavioral semantics. This paper introduces a formal semantic framework for the definition of the semantics of metamodel-based languages. Using metamodelling principles, we propose several techniques, some based on the translational approach while others based on the weaving approach, all showing how the Abstract State Machine formal method can be integrated with current metamodel engineering environments to endow language metamodels with precise and executable semantics.","","","https://doi.org/10.1007/s10515-009-0053-0","","https://link.springer.com/content/pdf/10.1007/s10515-009-0053-0.pdf","Metamodelling;Model-based development;Model driven engineering;Formal methods;Abstract state machines;Language semantics;Semantic (meta-)hooking;Weaving behaviour","Metamodelling;Model-based development;Model driven engineering;Formal methods;Abstract state machines;Language semantics;Semantic (meta-)hooking;Weaving behaviour","","","","31","275","","","","","",""
"Operational definition and automated inference of test-driven development with Zorro","Hongbing Kou; Philip M. Johnson; Hakan Erdogmus","Collaborative Software Development Laboratory, Department of Information and Computer Sciences, University of Hawaii, Honolulu, HI, 96822, USA; Collaborative Software Development Laboratory, Department of Information and Computer Sciences, University of Hawaii, Honolulu, HI, 96822, USA; Kalemun Research Inc., 4462 Bittersweet Pl., Ottawa, ON, K1V1R9, Canada","Automated Software Engineering","","","","","","","Test-driven development (TDD) is a style of development named for its most visible characteristic: the design and implementation of test cases prior to the implementation of the code required to make them pass. Many claims have been made for TDD: that it can improve implementation as well as design quality, that it can improve productivity, that it results in 100% coverage, and so forth. However, research to validate these claims has yielded mixed and sometimes contradictory results. We believe that at least part of the reason for these results stems from differing interpretations of the TDD development style, along with an inability to determine whether programmers actually follow whatever definition of TDD is in use.","","","https://doi.org/10.1007/s10515-009-0058-8","","https://link.springer.com/content/pdf/10.1007/s10515-009-0058-8.pdf","Test driven development;Hackystat;Process measurement","Test driven development;Hackystat;Process measurement","","","","14","256","","","","","",""
"Estimating the feasibility of transition paths in extended finite state machines","Karnig Derderian; Robert M. Hierons; Mark Harman; Qiang Guo","School of Information Systems, Computing and Mathematics, Brunel University, London, UK; School of Information Systems, Computing and Mathematics, Brunel University, London, UK; Department of Computer Science, King’s College London, London, UK; Department of Computer Science, University of Sheffield, Sheffield, UK","Automated Software Engineering","","","","","","","There has been significant interest in automating testing on the basis of an extended finite state machine (EFSM) model of the required behaviour of the implementation under test (IUT). Many test criteria require that certain parts of the EFSM are executed. For example, we may want to execute every transition of the EFSM. In order to find a test suite (set of input sequences) that achieves this we might first derive a set of paths through the EFSM that satisfy the criterion using, for example, algorithms from graph theory. We then attempt to produce input sequences that trigger these paths. Unfortunately, however, the EFSM might have infeasible paths and the problem of determining whether a path is feasible is generally undecidable. This paper describes an approach in which a fitness function is used to estimate how easy it is to find an input sequence to trigger a given path through an EFSM. Such a fitness function could be used in a search-based approach in which we search for a path with good fitness that achieves a test objective, such as executing a particular transition, and then search for an input sequence that triggers the path. If this second search fails then we search for another path with good fitness and repeat the process. We give a computationally inexpensive approach (fitness function) that estimates the feasibility of a path. In order to evaluate this fitness function we compared the fitness of a path with the ease with which an input sequence can be produced using search to trigger the path and we used random sampling in order to estimate this. The empirical evidence suggests that a reasonably good correlation (0.72 and 0.62) exists between the fitness of a path, produced using the proposed fitness function, and an estimate of the ease with which we can randomly generate an input sequence to trigger the path.","","","https://doi.org/10.1007/s10515-009-0057-9","","https://link.springer.com/content/pdf/10.1007/s10515-009-0057-9.pdf","EFSM;Transition feasibility;State-based testing;Automated test generation","EFSM;Transition feasibility;State-based testing;Automated test generation","","","","21","195","","","","","",""
"Test input reduction for result inspection to facilitate fault localization","Dan Hao; Tao Xie; Lu Zhang; Xiaoyin Wang; Jiasu Sun; Hong Mei","Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, People’s Republic of China; Department of Computer Science, North Carolina State University, Raleigh, NC, 27695, USA; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, People’s Republic of China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, People’s Republic of China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, People’s Republic of China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, Institute of Software, School of Electronics Engineering and Computer Science, Peking University, Beijing, 100871, People’s Republic of China","Automated Software Engineering","","","","","","","Testing-based fault-localization (TBFL) approaches often require the availability of high-statement-coverage test suites that sufficiently exercise the areas around the faults. However, in practice, fault localization often starts with a test suite whose quality may not be sufficient to apply TBFL approaches. Recent capture/replay or traditional test-generation tools can be used to acquire a high-statement-coverage test collection (i.e., test inputs only) without expected outputs. But it is expensive or even infeasible for developers to manually inspect the results of so many test inputs. To enable practical application of TBFL approaches, we propose three strategies to reduce the test inputs in an existing test collection for result inspection. These three strategies are based on the execution traces of test runs using the test inputs. With the three strategies, developers can select only a representative subset of the test inputs for result inspection and fault localization. We implemented and applied the three test-input-reduction strategies to a series of benchmarks: the Siemens programs, DC, and TCC. The experimental results show that our approach can help developers inspect the results of a smaller subset (less than 10%) of test inputs, whose fault-localization effectiveness is close to that of the whole test collection.","","","https://doi.org/10.1007/s10515-009-0056-x","","https://link.springer.com/content/pdf/10.1007/s10515-009-0056-x.pdf","Test suite reduction;Testing;Debugging;Fault localization","Test suite reduction;Testing;Debugging;Fault localization","","","","36","316","","","","","",""
"Trading-off security and performance in barrier slicing for remote software entrusting","Mariano Ceccato; Mila Dalla Preda; Jasvir Nagra; Christian Collberg; Paolo Tonella","Fondazione Bruno Kessler, Trento, Italy; University of Trento, Trento, Italy; University of Trento, Trento, Italy; University of Arizona, Tucson, USA; Fondazione Bruno Kessler, Trento, Italy","Automated Software Engineering","","","","","","","Network applications often require that a trust relationship is established between a trusted host (e.g., the server) and an untrusted host (e.g., the client). The remote entrusting problem is the problem of ensuring the trusted host that whenever a request from an untrusted host is served, the requester is in a genuine state, unaffected by malicious modifications or attacks.","","","https://doi.org/10.1007/s10515-009-0047-y","","https://link.springer.com/content/pdf/10.1007/s10515-009-0047-y.pdf","Program slicing;Security;Source code transformation","Program slicing;Security;Source code transformation","","","","5","102","","","","","",""
"Improving static resolution of dynamic class loading in Java using dynamically gathered environment information","Jason Sawin; Atanas Rountev","The Ohio State University, 395 Dreese Labs, 2015 Neil Ave, Columbus, OH, 43210, USA; The Ohio State University, 395 Dreese Labs, 2015 Neil Ave, Columbus, OH, 43210, USA","Automated Software Engineering","","","","","","","In Java software, one important flexibility mechanism is dynamic class loading. Unfortunately, the vast majority of static analyses for Java treat dynamic class loading either unsoundly or too conservatively. We present a novel semi-static approach for resolving dynamic class loading by combining static string analysis with dynamically gathered information about the execution environment. The insight behind the approach is that dynamic class loading often depends on characteristics of the environment that are encoded in various environment variables. Such variables are not static elements; however, their run-time values typically remain the same across multiple executions of the application. Thus, the string values reported by our technique are tailored to the current installation of the system under analysis. Additionally, we propose extensions of string analysis to increase the number of sites that can be resolved purely statically, and to track the names of environment variables. An experimental evaluation on the Java 1.4 standard libraries shows that a state-of-the-art purely static approach resolves only 28% of non-trivial sites, while our approach resolves 74% of such sites. We also demonstrate how the information gained from resolved dynamic class loading can be used to determine the classes that can potentially be instantiated through the use of reflection. Our extensions of string analysis greatly increase the number of resolvable reflective instantiation sites. This work is a step towards making static analysis tools better equipped to handle the dynamic features of Java.","","","https://doi.org/10.1007/s10515-009-0049-9","","https://link.springer.com/content/pdf/10.1007/s10515-009-0049-9.pdf","Static analysis;String analysis;Dynamic class loading;Reflection","Static analysis;String analysis;Dynamic class loading;Reflection","","","","12","143","","","","","",""
"On temporal path conditions in dependence graphs","Andreas Lochbihler; Gregor Snelting","Lehrstuhl Programmierparadigmen, Universität Karlsruhe (TH), Karlsruhe, Germany; Lehrstuhl Programmierparadigmen, Universität Karlsruhe (TH), Karlsruhe, Germany","Automated Software Engineering","","","","","","","Program dependence graphs are a well-established device to represent possible information flow in a program. Path conditions in dependence graphs have been proposed to express more detailed circumstances of a particular flow; they provide precise necessary conditions for information flow along a path or chop in a dependence graph. Ordinary boolean path conditions, however, cannot express temporal properties, e.g. that for a specific flow it is necessary that some condition holds, and later another specific condition holds.","","","https://doi.org/10.1007/s10515-009-0050-3","","https://link.springer.com/content/pdf/10.1007/s10515-009-0050-3.pdf","Program dependence graph;Path condition;Temporal logic;Security analysis","Program dependence graph;Path condition;Temporal logic;Security analysis","","","","1","93","","","","","",""
"Demand-driven evaluation of collection attributes","Eva Magnusson; Torbjörn Ekman; Görel Hedin","Department of Computer Science, Lund University, Lund, Sweden; Computing Laboratory, Oxford University, Oxford, UK; Department of Computer Science, Lund University, Lund, Sweden","Automated Software Engineering","","","","","","","In order to make attribute grammars useful for complicated analysis tasks, a number of extensions to the original Knuth formalism have been suggested. One such extension is the collection attribute mechanism, which allows the value of an attribute to be defined as a combination of contributions from distant nodes in the abstract syntax tree. Another extension that has proven useful is circular attributes, evaluated using fixed-point iteration. In this paper we show how collection attributes and the combined formalism, circular collection attributes, have been implemented in our declarative meta programming system JastAdd, and how they can be used for a variety of applications including devirtualization analysis, metrics and flow analysis. A number of evaluation algorithms are introduced and compared for applicability and efficiency. The key design criterion for our algorithms is that they work well with demand evaluation, i.e., defined properties are computed only if they are actually needed for a particular program. We show that the best algorithms work well on large practical problems including the analysis of large Java programs.","","","https://doi.org/10.1007/s10515-009-0046-z","","https://link.springer.com/content/pdf/10.1007/s10515-009-0046-z.pdf","Attribute grammars;Collection attributes;Circular attributes;Fixed-point computations;Source code analysis","Attribute grammars;Collection attributes;Circular attributes;Fixed-point computations;Source code analysis","","","","7","121","","","","","",""
"An integrated crosscutting concern migration strategy and its semi-automated application to JHotDraw","Marius Marin; Arie van Deursen; Leon Moonen; Robin van der Rijst","Technology Architecture, Accenture, Gustav Mahlerplein 90, 1082 MA, Amsterdam, The Netherlands; Delft University of Technology, Delft, The Netherlands; Simula Research Laboratory, Lysaker, Norway; Delft University of Technology, Delft, The Netherlands","Automated Software Engineering","","","","","","","In this paper we propose a systematic strategy for migrating crosscutting concerns in existing object-oriented systems to aspect-oriented programming solutions. The proposed strategy consists of four steps: mining, exploration, documentation and refactoring of crosscutting concerns. We discuss in detail a new approach to refactoring to aspect-oriented programming that is fully integrated with our strategy, and apply the whole strategy to an object-oriented system, namely the JHotDraw framework.","","","https://doi.org/10.1007/s10515-009-0051-2","","https://link.springer.com/content/pdf/10.1007/s10515-009-0051-2.pdf","Program analysis;Code refactoring;Cross cutting concerns;Concern modeling;Aspect-oriented programming;Reverse engineering;Software engineering","Program analysis;Code refactoring;Cross cutting concerns;Concern modeling;Aspect-oriented programming;Reverse engineering;Software engineering","","","","9","552","","","","","",""
"Precise slicing of concurrent programs","Dennis Giffhorn; Christian Hammer","Universität Karlsruhe (TH), Karlsruhe, Germany; Universität Karlsruhe (TH), Karlsruhe, Germany","Automated Software Engineering","","","","","","","While there exist efficient algorithms to slice sequential programs precisely, there are only two algorithms for precise slicing of concurrent interprocedural programs with recursive procedures (Krinke in Proc. ESEC/FSE’03, pp. 178–187, 2003; Nanda and Ramesh in ACM Toplas. 28(6):1088–1144, 2006). We present an empirical evaluation of both algorithms for Java. We demonstrate that both algorithms provide the same precision up to the model of concurrency in use and show that the concurrency model has strong impact on slice precision and computation costs. Furthermore, we extend both algorithms to support dynamic thread creation both in loops and recursion—a feature that the original algorithms could not fully handle. The worst case complexity of the algorithms being exponential, we developed several optimizations and compared these with each other and with algorithms that trade precision for speed. Finally, we show that one algorithm may produce incorrect slices and present a remedy.","","","https://doi.org/10.1007/s10515-009-0048-x","","https://link.springer.com/content/pdf/10.1007/s10515-009-0048-x.pdf","Slicing;Program analysis;Concurrency;Threads","Slicing;Program analysis;Concurrency;Threads","","","","13","181","","","","","",""
"Parameter reference immutability: formal definition, inference tool, and comparison","Shay Artzi; Adam Kieżun; Jaime Quinonez; Michael D. Ernst","MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA; MIT Computer Science and Artificial Intelligence Laboratory, 32 Vassar st., Cambridge, MA, 02142, USA","Automated Software Engineering","","","","","","","Knowing which method parameters may be mutated during a method’s execution is useful for many software engineering tasks. A parameter reference is immutable if it cannot be used to modify the state of its referent object during the method’s execution. We formally define this notion, in a core object-oriented language. Having the formal definition enables determining correctness and accuracy of tools approximating this definition and unbiased comparison of analyses and tools that approximate similar definitions.","","","https://doi.org/10.1007/s10515-008-0043-7","","https://link.springer.com/content/pdf/10.1007/s10515-008-0043-7.pdf","Readonly;Reference immutability;Definition;Combined analysis","Readonly;Reference immutability;Definition;Combined analysis","","","","7","111","","","","","",""
"Reasoning about programs via operational semantics: requirements for a support system","John R. D. Hughes; Cliff B. Jones","School of Computing Science, Newcastle University, Newcastle, UK; School of Computing Science, Newcastle University, Newcastle, UK","Automated Software Engineering","","","","","","","Reasoning about programs using “axioms” is well established; in this paper we argue that reasoning about a program directly in terms of Structural Operational Semantic (SOS) language descriptions is a viable addition and that this is anyway necessary for the vast majority of languages where there is nothing like a full axiomatic description. Using an SOS description is likely to require detailed proofs whose acceptability to users will depend on suitable support systems. The paper presents a very simple example to illustrate how we can reason about (in fact, develop) a program to prove that it satisfies a specification. The main contribution is to use this trivial example to point out issues in designing an interactive proof system for constructing such proofs.","","","https://doi.org/10.1007/s10515-008-0036-6","","https://link.springer.com/content/pdf/10.1007/s10515-008-0036-6.pdf","Structural operational semantics;Proofs about programs;Tool support","Structural operational semantics;Proofs about programs;Tool support","","","","1","73","","","","","",""
"Automated software engineering: supporting understanding","Michael Jackson","The Open University, Milton Keynes, MK7 6BJ, UK","Automated Software Engineering","","","","","","","The most important role for automation in software engineering is the support of human understanding. Some aspects of understanding and how it can be supported are discussed.","","","https://doi.org/10.1007/s10515-008-0034-8","","https://link.springer.com/content/pdf/10.1007/s10515-008-0034-8.pdf","Complexity;Description;Fragmentation;Manipulation;Automation;Mechanisation","Complexity;Description;Fragmentation;Manipulation;Automation;Mechanisation","","","","7","148","","","","","",""
